case,K,T,D,score
687,20,8076,1496,1524080
688,12,52421,7505,3152002
689,13,22987,81,365861
690,13,8595,118,478975
691,11,52332,273,806002
692,8,33083,385,1106951
693,9,26717,61,351021
694,14,7118,25,359888
695,20,30709,8581,2625831
696,9,49057,1114,2139791
697,7,55693,7609,1835671
698,5,9483,683,1681658
699,11,7317,291,863022
700,12,41672,964,1501927
701,12,44775,714,1382195
702,20,11903,2122,2130462
703,6,6999,921,1588043
704,7,5583,315,1220413
705,8,7188,390,1198831
706,7,4554,199,1007749
707,11,5158,67,726661
708,6,20580,300,1008664
709,4,43371,35,292357
710,16,55925,523,1125127
711,10,9620,858,1182976
712,17,4220,66,771587
713,17,55819,3260,2505345
714,7,21108,127,654068
715,18,51762,41,210279
716,11,26891,11,116446
717,13,14960,125,532170
718,10,42870,2632,2558996
719,14,4730,1097,1338283
720,19,16320,54,247050
721,5,4364,31,936431
722,9,5898,322,960389
723,11,17270,1118,1899585
724,13,53233,16,126476
725,11,11049,177,627500
726,16,14465,85,366090
727,11,58199,5965,2016798
728,17,14830,46,224116
729,8,54571,4932,2008065
730,8,38612,996,1414416
731,12,10213,286,749257
732,9,4419,131,990722
733,15,55075,504,897289
734,20,16497,46,216109
735,10,5269,928,1628372
736,14,14505,278,791696
737,5,34303,11,240979
738,15,11375,554,1212143
739,15,5255,3827,2171521
740,5,5779,550,1667083
741,17,30016,53,262019
742,17,48415,3559,1497746
743,19,5074,2019,1403715
744,10,34176,2790,2674915
745,14,4770,4707,2054866
746,5,5024,102,1447777
747,7,8802,24,247687
748,7,16230,780,1360773
749,7,18586,572,1405314
750,19,8348,17,173016
751,7,61384,1571,1900563
752,10,49721,545,1299024
753,12,4161,32,784413
754,4,7372,113,894921
755,20,37138,4876,1902246
756,12,55547,120,518529
757,4,4711,768,1999881
758,7,4626,573,1371124
759,19,16239,4557,1971550
760,7,18514,6733,1256742
761,11,19566,349,982725
762,7,41947,197,734861
763,9,14090,1210,1715450
764,10,12070,11,153381
765,7,28788,20,241516
766,9,16452,305,829221
767,6,42358,61,460421
768,6,4991,30,1280403
769,5,13090,382,1344916
770,18,40514,11,89240
771,6,34421,268,948670
772,9,30543,1796,2622089
773,4,56058,8089,2544801
774,6,8201,317,1103604
775,19,34879,71,311681
776,12,32922,5917,2535047
777,10,11994,191,668377
778,19,25049,1361,1947307
779,14,5033,28,698369
780,18,7142,478,1064086
781,16,61494,430,959156
782,10,19427,9194,2229594
783,20,27277,334,715106
784,14,7988,28,207368
785,10,47385,356,1010200
786,5,18778,656,1621531
787,10,5645,32,512006
788,4,42218,5160,2098474
789,10,41282,10,114803
790,5,22189,9237,2590862
791,13,49414,355,843576
792,13,41619,63,329613
793,19,17203,7573,1406924
794,7,15148,6416,1490899
795,11,8351,60,403021
796,4,21352,4633,1708274
797,9,20955,2098,2263182
798,19,7727,60,287629
799,4,29670,72,583257
800,14,14007,1363,1985774
