 19527,  33658,  45669,  56315,  65767,  74078,  81426,  87730,  92905,  96113, 115,  8, 11671,   13,  108815,   12701,   96113, 0.0353810,  45, 13.7794171,  3656,
 81159, 148160, 207668, 260932, 309037, 351549, 389470, 422317, 448271, 464435, 116, 13, 10869, 7539,  675528,  211092,  464435, 0.1087426,  32, 9.6670673,  2028,
 16665,  29855,  41488,  52076,  61657,  70283,  77940,  84510,  89832,  93184, 117, 16,  4532,   36,  117918,   24732,   93185, 0.0246658,  45, 7.5542616,  3061,
 11490,  20021,  26857,  32651,  37750,  42126,  45837,  48890,  51202,  52510, 118, 10, 19518, 5277,  121112,   68601,   52510, 0.0187230, 506, 3.1690632, 17309,
  2484,   4280,   5803,   7104,   8214,   9149,   9919,  10549,  11043,  11317, 119, 13, 51179,   34,   12984,    1666,   11317, 0.0038313, 520, 8.5373005, 22043,
 20498,  36300,  50101,  62307,  73194,  82992,  91678,  99155, 105276, 108995, 120, 10,  5927,   23,  129053,   20056,  108996, 0.0365158,  45, 8.0145166,  3433,
 72786, 127337, 174758, 216789, 254028, 287000, 315711, 340665, 360630, 373312, 121, 11, 13654, 2625,  444188,   70875,  373312, 0.1098652,  32, 16.4684194,  2027,
 20934,  36284,  49771,  61858,  72864,  82920,  91891,  99900, 106488, 110602, 122, 16,  7624,  179,  163946,   53342,  110603, 0.0389336,  34, 15.5913959,  2298,
Error: add_turn_3 called after max_t reached.
 71856, 132986, 187676, 236559, 280255, 320214, 355635, 386355, 411228, 426297, 123, 17,  8237, 5354,  560149,  133850,  426298, 0.0922531,  32, 10.8214029,  2025,
 21583,  37446,  50709,  62032,  71553,  79721,  86539,  91894,  95837,  98066, 124,  4, 13926, 5533,  186595,   88528,   98066, 0.0594567, 504, 5.8780103, 13742,
Error: add_turn_3 called after max_t reached.
 18220,  32648,  45341,  56555,  66661,  75763,  83830,  90807,  96437,  99851, 125, 14, 16290,   40,  128493,   28640,   99852, 0.0248495,  45, 25.5454448,  3114,
  5280,   9134,  12407,  15258,  17741,  19923,  21799,  23370,  24577,  25296, 126, 16, 20013,  134,   39903,   14606,   25296, 0.0089430, 506, 12.7262229, 19129,
  3152,   5537,   7528,   9233,  10728,  12023,  13106,  14018,  14755,  15190, 127, 18, 23078,   48,   18311,    3120,   15190, 0.0070873, 520, 9.9272434, 21720,
 14668,  26504,  37057,  46480,  54924,  62463,  69114,  74868,  79526,  82411, 128, 13, 10877,   18,  101636,   19224,   82411, 0.0207303,  45, 18.8164585,  3826,
 20084,  35828,  49499,  61588,  72459,  82158,  90706,  98170, 104316, 108228, 129, 13, 10518,   35,  135354,   27125,  108228, 0.0317937,  45, 19.4163330,  3235,
 13357,  23160,  31495,  38564,  44589,  49682,  53996,  57579,  60309,  61979, 130, 17, 19743, 7829,  163757,  101777,   61979, 0.0208089, 506, 4.2397907, 17407,
 27523,  48647,  67005,  83734,  98974, 112673, 124762, 135115, 143627, 149235, 131, 13, 16818,  194,  208989,   59752,  149236, 0.0443436,  44, 35.3593859,  2322,
Error: add_turn_3 called after max_t reached.
 20940,  36648,  50233,  62383,  73237,  82931,  91525,  98966, 105099, 109051, 132, 18,  5844,  349,  213404,  104351,  109052, 0.0431562,  34, 13.2910456,  2299,
 31652,  54083,  73162,  90090, 105324, 119007, 131084, 141585, 150248, 155919, 133, 13,  6675,  293,  243820,   87900,  155919, 0.0595078,  34, 13.5362651,  2300,
  6470,  10956,  14562,  17603,  20184,  22401,  24287,  25834,  27075,  27781, 134, 16, 26546,  252,   54746,   26964,   27781, 0.0097459, 520, 8.0850143, 21647,
  2648,   4465,   5952,   7242,   8357,   9311,  10122,  10768,  11234,  11502, 135, 18, 63879,   33,   12725,    1221,   11503, 0.0138425, 520, 9.9757034, 21715,
 11203,  19482,  26319,  32116,  37030,  41232,  44839,  47765,  49986,  51284, 136, 17, 17681, 4344,   94726,   43440,   51285, 0.0156414, 506, 4.0007999, 17320,
